Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
13.62,18.43,14.41,11.39,11,14,13
21.49,14.12,30.78,13.78,18,18,16
22.4,15.94,17.41,14.93,14,10,10
13.99,19.37,14.58,15.25,14,17,12
16.42,27.08,21.43,11.61,9,15,13
13.91,15.95,12.03,13.26,10,9,13
18.58,17.78,13.83,14.63,15,17,16
18.39,23.51,21.72,20.6,12,20,10
20.41,27.62,41.19,23.08,24,28,16
14.95,14.02,25.23,29.58,18,21,16
15.87,15.63,15.39,14.93,10,15,13
16.29,16.68,14.36,14.31,13,15,15
15.6,14.36,12.87,11.59,11,14,13
20.38,24.81,18.84,15.38,14,17,23
18.51,16.11,19.73,15.36,14,10,16
15.62,13.92,17.05,17.71,15,16,12
19.91,19.32,15.27,12.4,10,13,14
21.84,13.22,27.42,32.71,17,18,17
15.07,14.52,15.47,27.51,15,16,18
19.7,20.86,19.65,20.91,12,14,14
48.67,53.12,23.9,11.2,17,23,17
16.02,15.04,19.99,19.84,21,17,22
16.51,20.21,18.12,18.3,17,14,16
14.82,15.07,15.27,13.2,14,17,11
15.65,18.66,18.12,10.68,16,16,14
29.73,33.19,24.61,32.16,22,34,13
20.64,20.76,18.19,13.58,13,11,17
12.77,21.75,19.1,19.34,15,21,18
20.25,16.69,13.23,12.92,14,19,15
16.77,20.06,15.42,11.58,12,12,9
20.38,19.24,23.47,16.62,17,15,16
13.75,11.21,15.36,14.45,12,12,11
25.55,24.37,26.51,29.33,21,31,22
16.5,16.7,13.48,12.01,14,13,16
17.23,13.08,18.54,21.03,18,24,16
17.31,18.31,11.64,12.54,13,15,13
14.54,18.48,18.72,13.05,9,12,19
13.24,13.36,19.83,16.27,17,19,17
19.16,16.13,16.46,9.94,11,12,15
20.74,26.51,39.38,24.83,31,21,44
17.47,16.11,15.57,17.25,13,16,14
20.02,18.17,15.11,13.46,21,16,17
24.89,17.82,37.21,20.09,17,32,55
25.44,18.86,24.62,18.53,19,23,16
12.09,17.24,14.83,11.05,14,12,22
14.98,21.68,16.67,12.3,14,18,15
16.56,14.07,15.39,11.83,17,17,11
44.63,39.95,24.3,28.65,14,29,56
29.31,21.73,19.21,26.26,21,31,17
20.86,14.91,14.51,11.69,9,16,19
12.48,15.06,15.01,15.53,15,12,11
18.2,14.8,14.03,12.87,9,17,13
15.31,15.1,18.22,18.63,10,18,17
17.69,18.41,20.08,18.68,14,8,14
25.53,26.97,24.8,22.38,23,18,24
18.76,17.08,15.14,15.14,14,16,11
16.54,15.43,16,11.33,14,12,12
15.39,22.71,20.3,15.02,14,15,19
16.54,26.04,25.87,17.8,15,18,24
21.63,23.14,16.73,20.99,17,25,18
17.42,15.76,16.1,20.14,14,16,15
20,15,25,19,30,22,25
17.85,21.3,24.01,15.46,21,25,16
28.03,31.39,33.48,27.79,37,26,25
20.94,14.73,40.59,42.26,33,34,35
20.17,30.93,19.47,15.71,19,18,16
17.84,19.02,12.41,12.31,15,32,16
13.02,14.06,19.19,16.97,12,15,10
14.82,14.94,17.96,17.96,12,20,12
39.49,35.77,35.67,25.81,43,24,15
23.94,25.5,15.79,33.56,18,17,29
14.99,19.58,15.71,23.23,15,20,16
17.37,15.12,15.37,25.02,17,12,12
36.51,40.23,54.59,33.34,27,23,26
20.14,14.29,15.89,11.43,11,14,23
17.4,16.05,17.5,24.25,22,24,14
14.21,16.25,19.27,12.17,9,20,18
19.48,14.07,21.25,22.65,11,18,12
17.64,13.22,15.54,17.6,14,19,17
20.71,18.69,14.64,21.18,15,14,19
15.87,15.25,16.77,18.43,21,15,12
28.44,33.39,19.54,22.03,28,27,26
17.49,15.71,23.95,15.73,14,27,11
21.21,17.37,33.38,17.84,12,32,23
15.33,14.62,21.46,19.28,15,18,17
24.54,36.15,29.45,17.48,28,26,17
12.72,12.24,14.03,10.6,10,15,12
19.93,14.23,14.75,17.26,11,11,12
