Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
34.93,38.97,32.25,31.72,40,31,37
47.89,46.32,32.68,17.37,43,21,32
50.28,51.66,27.06,4.89,45,28,42
38.39,39.08,35.6,22.22,46,18,39
25.51,29.34,24.86,21.61,32,24,26
40.14,44.1,31.8,9.96,46,26,27
36.83,44.53,35.16,24.15,43,39,30
41.98,43.71,21.69,7.8,38,25,34
37.49,41.9,23.07,8.5,35,14,36
42.23,44.15,24.65,8.79,37,11,36
24.18,40.36,12.87,12.37,32,11,26
33.2,41.61,16.89,8.66,29,12,29
45.65,47.55,38.11,12.64,45,29,45
60.51,58.46,23.32,7.67,37,32,48
41.82,37.87,28.12,12.06,45,43,16
44.42,51.3,28.52,11.91,45,16,33
44.43,47.79,35.46,18.25,40,37,44
47.61,52.84,47.73,18.7,52,37,23
35.3,52.19,17.74,12.06,34,12,20
31.48,35.85,21.67,11.42,35,23,29
43.68,49.19,35.32,20.15,46,26,39
56.1,55.99,34.93,23.37,54,28,39
39.39,41.95,29.33,10.58,43,23,41
57.6,25.66,35.97,18.31,46,38,16
65.13,24.71,33.27,11.75,45,60,19
38.95,44.11,25.97,9.62,38,30,38
49.34,40.58,29.43,12.93,39,28,24
62.57,36.13,54.2,18.9,53,46,60
36.14,37.07,29.32,10.64,33,34,14
42.17,45.95,17.18,10.25,20,18,22
32.43,34.18,27.36,18.91,40,21,30
39.2,44.67,9.13,7.54,16,10,11
26.6,36.91,18.16,13.54,34,13,21
40.34,41.34,26,10.79,36,15,38
41.27,49.4,33.08,19.08,53,31,31
59.95,47.04,30.9,9.87,35,23,30
56.94,52.05,21.63,4.52,35,32,35
32.55,33.19,22.92,14.07,40,27,25
30.62,38.26,27.46,26.56,44,26,30
43.29,46.86,23.21,11.46,39,16,29
29.73,44.54,35.63,16.59,45,36,20
34.6,37.84,23.69,9.73,30,22,36
45.3,41.26,35.18,14.08,53,32,31
38.95,45.06,30.18,15.86,42,25,29
29.41,33.64,23.33,18.33,39,26,31
44.7,40.4,26.67,10.73,44,15,13
49.28,51.17,33.56,12.18,44,25,39
37.07,43.97,26.93,18.35,39,14,34
44.07,41.59,27.53,8.05,39,35,13
45.24,41.64,21.02,11.48,36,25,17
30.67,33.8,20.24,14.56,31,23,18
44.42,46.19,27.43,12.55,44,28,33
