Image with Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
52.42,57.02,36.6,20.93,42,35,26
53.17,61,38.89,24.51,53,30,40
53.09,33.71,11.06,4.11,23,7,21
31.01,50.69,32.98,10.13,39,22,48
45.41,62.78,29.87,10.65,35,17,50
46.03,51.89,29.6,5.53,35,31,20
59.46,60.87,41.01,26.39,40,14,19
50.65,57.16,41.24,17.91,41,12,32
51.28,57.09,32.37,6.46,33,8,47
57.84,47.05,26.87,4.85,31,9,15
48.05,57.33,28.01,8.12,40,33,39
44.94,54.65,56.4,22.64,50,50,35
50.59,42.35,15.19,4.19,25,7,15
62.45,52.44,27.3,11.03,32,50,30
56.05,55.63,36.78,5.44,45,14,41
36.08,52.65,21.25,4.34,37,5,27
46.97,39.91,24.04,6.16,28,9,28
29.8,45.37,25.07,3.69,34,23,24
33.84,44.08,38.05,4.52,38,28,19
50.66,58.13,44.91,13,51,39,19
31.95,53.6,22.79,9.59,38,25,40
47.99,58.77,31.66,5.45,46,15,37
32.32,32.21,9.23,4.28,12,17,18
31.64,49.85,23.57,16.75,41,25,21
46.28,49.32,29.65,10.79,50,9,11
37.73,53.61,19.16,4.14,20,14,37
49.23,55.75,33.98,6.24,40,16,43
35.58,54.74,10.22,3.5,39,13,20
64.23,49.22,47.17,23.34,51,27,39
48.42,56.97,43.21,7.28,41,9,40
51.9,45.18,54.19,29.19,52,26,50
51.67,44.25,17.75,3.66,28,32,18
47.22,45.68,22.69,3.85,37,10,27
72.37,18.66,24.31,4.51,35,50,15
31.35,42.78,31.1,7.8,34,46,15
50.26,53.22,29.94,9.44,19,7,22
40.8,52.11,5.54,3.17,23,8,4
58.25,56.82,40.86,10.01,49,30,49
41.3,52.13,27.33,6.38,44,23,38
35.03,46.09,33.37,7.14,41,39,10
33.78,47.2,24.43,9.77,36,16,13
62.48,61.19,39.31,15.33,45,33,40
43.04,55.68,28.63,5,42,25,40
42.77,31.53,14.71,4.17,31,32,35
45.6,55.7,40.83,17.75,51,22,43
47.31,59.24,29.98,5.07,33,27,30
39.15,51.52,21.62,4.81,35,21,29
61.72,53.51,28.04,6.29,32,26,34
55.92,36.37,30,7.61,35,33,42
56.42,57.65,35.52,4.68,39,45,28
41.38,58.58,33.37,12.85,39,13,31
51.01,58.02,34,13.42,46,15,34
58.51,43.78,17.6,3.48,26,25,24
25.69,42.41,12.35,4.54,26,9,12
57.59,62.08,29.19,24.27,47,31,12
43.01,55.32,35.46,18.1,29,32,50
27.97,47.07,27.97,3.65,47,17,26
25,33.66,25.81,3.85,37,33,43
52.29,50.53,39.94,9.91,44,35,36
48.18,49.03,30.14,6.93,35,35,7
43.74,50.59,34.54,13.39,41,21,36
50,33.1,15.2,3.02,17,32,33
58.44,34.68,8.34,1.54,19,25,26
37.27,44.39,27.46,9.88,36,28,33
45.96,55.62,29.7,6.52,36,14,45
44.13,52.24,28.25,4.99,39,25,38
39.28,50.28,24.56,6.68,41,19,18
46.63,46.05,35.39,5.48,44,13,48
62.46,61.56,32.78,4.09,36,34,32
56.61,56.89,30.42,31.23,47,41,36
51.63,53.13,31.47,5.94,32,27,32
5.97,32.67,32.84,4.87,28,26,35
43.9,43.09,12.99,3.45,28,22,25
42.06,45.62,35.5,11.03,29,27,41
7.69,51.13,28.54,3.59,39,44,27
27.77,57.46,27.07,3.55,38,30,32
40.31,49.01,31.67,4.28,37,36,24
56.08,51.06,33.19,4.83,49,35,8
50,49.58,37.19,21.35,40,26,36
46.02,40.61,23.03,4.9,35,26,34
42.5,47.05,27.06,5.49,40,17,36
45.5,52.8,35.11,8.71,43,25,36
34.55,48.06,36.27,10.97,39,43,47
